gene  z1         z2       z3          z4        z5          z6      z7        z8         z9        z10    z11         z12       z13       z14        z15      z16       z17      z18        z19        z20       z21     z22        z23       z24       z25      z26        z27       z28        z29      z30       z31      z32       z33       z34       z35       z36       z37       z38        z39       z40      z41       z42        z43      z44        z45      z46       z47      z48         z49       z50      z51       z52        z53       z54      z55        z56      z57        z58      z59       z60        z61      z62      z63              
 884  -0.06903  -0.56203  -0.45201   0.22262  -0.12659  -0.37841  -0.38489  -0.25981  -0.44161   0.12646  -0.13938  -0.00980   0.18478   0.08723  -0.23319  -0.34623  -0.22872   0.10890   0.10890   0.21680  -0.97233  -0.17459  -0.01954   0.34387   0.01395   0.33993   0.22650  -0.00456  -0.57875  -0.59512   0.18478  -0.62708   0.38319   0.37411  -0.68191   0.21793   0.46972  -0.18351   0.13837  -0.79374   0.71764  -0.27060   0.29673  -0.04804  -0.12562   0.47505   0.21961  -0.22728  -1.08649   0.26911  -0.88177   0.25196  -0.70068   0.49716  -0.18435  -0.00040   0.71606   0.54049   0.12967   0.12646   0.01395   0.82057   0.00364
 885  -1.82666  -1.98933  -2.36769  -0.72909  -0.67649  -1.11019  -0.72671  -1.24688  -1.17920  -0.43379  -0.21785  -0.44957  -0.95907  -0.04416  -1.04641  -0.97538  -1.15201  -0.76852  -0.77024  -0.19171  -1.49344  -0.67757  -0.20678  -0.88600  -0.71652  -0.65585  -0.28988  -1.02750  -1.37358  -1.57297  -0.83299  -0.37695  -0.66963  -1.01777  -0.72062  -0.44457  -0.78318  -0.83524  -0.79874  -0.76443  -0.89765  -0.49865  -0.24558  -2.29661  -0.55356  -0.18201  -0.90140  -0.20102  -2.17025  -0.15976  -1.21875  -0.28915  -1.73132  -1.41192  -2.29214  -1.61556  -2.05222  -0.99506  -0.65585  -1.05413  -1.59537  -2.04565  -2.45550
 886   1.70872   0.60393   1.43192   1.77437   1.47780   1.07050   0.97250   1.13971   1.29148   0.44194   1.40660   1.07470   1.30983   1.54815   1.58041   1.47191   1.18493   1.95420   1.61942   1.47191   1.25143   0.73056   1.19690   1.24156   1.31828   1.47780   1.35876   1.79401   1.57246   1.70872   1.58041   1.53337   1.55596   1.57246   1.82816   1.82816   1.67267   1.86249  -0.82932   1.69502   1.69502   1.68927   1.76547   0.43722   0.60584   0.56693   1.61942   2.03526   0.32201   1.65500   1.59142   1.65391   1.82816   1.34441   0.93768   0.42104   1.30983   1.17979   1.35021   0.58629   0.93768   0.12729   1.22087
 887  -1.66210  -0.97803  -0.91267  -1.58348  -1.06524  -1.37249  -2.65859  -2.47587  -1.18344   0.16114  -0.87181  -0.37579  -1.26337  -1.05772  -2.15460  -2.04026  -2.06989  -1.87635  -1.81340  -2.04026  -2.34150  -0.95347  -1.05859  -0.50667  -1.14767  -1.19419   0.15572  -0.53333  -2.50472  -2.13707  -1.43464  -1.69719  -2.23507  -1.16075  -0.98578  -1.50352  -1.82635  -1.52168  -1.36669  -1.11019  -0.88370  -1.24358  -1.80759  -0.41961  -1.05292  -1.37743  -0.30165  -0.84959  -1.39091  -1.26603  -1.69719  -1.49958  -0.56282  -1.72556  -0.22402  -0.74570  -0.77740  -0.49249  -0.20727  -1.55497  -0.84830  -1.54695  -0.87241
 888  -2.04719  -1.88093  -2.34046  -2.14260  -1.86498  -1.93206  -1.12787  -1.21824  -1.22716  -1.52832  -1.59464  -1.65397  -1.09468  -0.69045  -1.92518  -1.58606  -1.69147  -0.94142  -0.94212  -1.53168  -1.68013  -0.62521  -0.54784  -0.66049  -1.01777  -0.85815  -0.73465  -1.90751  -1.79504  -1.56915  -1.71093  -2.15051  -2.34778  -1.95582  -1.16556  -1.51029  -1.37358  -1.16796  -1.72093  -1.50149  -1.80319  -1.44308  -1.15106  -0.74439  -1.08022  -0.85380  -0.59666  -1.26532  -1.45651  -1.29664  -1.73415  -1.09081  -1.33332  -2.14345  -1.89546  -1.68309  -1.06539  -1.94317  -2.49200   1.18277  -1.19419  -1.39191  -2.19824
 889   0.79163   1.21795   0.91994  -0.61397   0.67394   1.20761   0.37833   1.24696   0.92925   0.50958   1.06518   0.69347   1.22087   0.39991   0.51267   0.08723   1.29148   1.21795   1.50637   0.27774   1.16888   1.52188   1.52188  -0.12812   0.84970   0.88031   0.35118   0.66086   0.65375   0.87832   0.25196   0.81702   0.04009   0.03198   1.73451   0.19404   0.78203   0.84075   1.01144  -0.28330   0.79647   0.50053   1.16888   0.35283   1.35021   1.35876   0.64519   1.09400   0.75790   0.71405  -0.24150   0.62669   0.71957   0.02059   0.11015   0.57526   0.31824   0.84469   0.83781   0.14080   0.74089   0.00568  -1.29682
 890  -1.22622  -0.76604  -0.79374  -0.16311  -1.29591  -1.37991  -0.86798  -0.91629  -1.31379  -2.06791  -1.28610  -1.21689  -0.71366  -1.00676  -0.69045  -0.41151  -0.30374  -1.04498  -1.02235  -1.50127  -0.08730  -1.12656  -1.13647  -1.05485  -0.67757  -0.45555  -0.24399  -0.99682  -0.89502  -0.73668  -0.53606  -0.56555  -0.30700  -0.41961  -1.12687  -1.17272  -0.94920  -0.98177  -0.88722  -0.55226  -1.05643  -0.69826  -0.68033  -1.48568  -1.21520  -0.84679  -1.27244  -1.20514  -1.43948  -0.94817   0.21961  -0.32684  -0.44442  -0.41847  -1.01239  -0.42741  -1.28375  -1.39655  -1.41080  -0.91074   0.36068  -0.89245  -0.88370
 891  -0.43580  -0.26449  -0.19511   0.26332  -0.61111  -1.04229  -0.52332  -0.30165  -0.37579  -1.79369  -0.65923  -0.37295  -0.80352  -0.16046  -0.58735  -0.23756   0.06353  -0.60240  -0.59994  -0.21035   0.43725  -0.58735  -0.42198  -1.66025  -1.00745  -1.03184  -0.63281  -1.39312  -1.03918  -1.35402  -1.25492  -0.22728  -0.25335  -0.40760  -1.58384  -1.10565  -0.94869  -0.50733  -0.03698  -1.41944  -1.34458  -0.59149  -1.15757  -1.98418  -2.29412  -0.95711  -1.35577  -1.24116  -0.99981  -0.46164  -0.20678  -1.13460  -0.80722  -0.49828  -1.15789  -0.33282  -2.37199  -1.23745  -1.00676  -0.90820  -0.25335  -1.13127  -1.61607
 892   0.33993   0.21680   0.00280  -0.40115   0.13129  -0.04041  -0.54680   0.15156   0.13514  -0.33282  -0.51366  -0.13091  -0.33666  -0.36334   0.50386   0.61621   0.65760  -0.43032  -0.45169   0.02469   0.00145   0.01435  -0.29652  -0.32386  -0.43909   0.16856   0.16856   0.40393   0.19503   0.28792   0.02888  -0.00713   0.14713   0.79647   0.69706   0.65375   0.55075   0.34387  -0.48809   0.67144   0.43162   0.29356   0.15324   0.26983  -0.03072  -0.51429   0.38319   0.51267   0.04960  -0.51417  -0.25225   0.02999   0.41009   0.45882  -0.14007   0.01395   0.47038   0.14332  -0.37637  -0.85709   0.26983   0.17147  -1.59537
 893  -1.23615  -0.49151  -0.34186  -0.03843  -1.06495  -1.28764  -1.07970  -0.50600  -0.75503  -2.02393  -0.63450  -0.40497  -0.89221  -0.32712  -0.88262  -0.76014  -0.70239  -0.86644  -0.83807  -0.55043  -0.60496  -0.53469  -0.58735  -1.51894  -0.54266  -0.68191  -0.25174  -1.00049  -1.04513  -0.59357  -0.64426  -0.46239  -1.10203  -1.28538  -1.03381  -1.40732  -1.41511  -1.06147  -0.55321  -1.07970  -1.21520  -0.84830  -1.19073  -1.95582  -1.31668  -0.61767  -1.22010  -1.61456  -2.14345  -0.59357  -0.40444  -0.78318  -0.75131  -0.54043  -1.17393  -0.20297  -1.64878  -2.08626  -1.16315  -1.01584  -0.03770  -1.29664  -1.47578
 894  -0.28669   0.79163   0.19058  -0.85480  -0.66885  -0.66631  -1.03791   0.34256   0.24310   0.17147   0.23440   0.08627   0.50724  -0.47844  -0.34722  -0.38713   1.13636  -0.41309  -0.50733  -0.30700   0.14988   0.04679   0.30848  -0.66339  -0.22634  -0.31588  -0.44411   0.23894   0.18103  -0.61767  -0.92130   0.12967   0.20086   0.28277   0.95231  -0.26958   0.67684  -0.25280   0.22932  -0.50850   0.19961   0.11199   0.44894   0.27945   0.18897   0.38910   0.60199   0.70211   0.71764   0.50838  -0.16517   0.75224   0.18103  -0.74507   0.06353   0.15156   0.04009   0.25688  -0.25813  -0.43032   0.31090  -0.52899  -0.96509
 895  -0.57786  -0.98792  -0.83518  -0.70239  -1.33693  -0.49127  -1.25544  -0.66885  -0.62858  -0.66087   0.24776   0.50724  -0.62386  -0.92521  -1.07208  -0.98886  -0.04804  -0.00713   0.01504   0.14280  -0.26794  -0.79685  -0.41885   0.15156  -0.00783   0.01153   0.01435  -0.12625  -0.29558  -0.57076  -0.94071  -1.07603  -0.70391  -0.68548  -0.32712  -0.02922  -0.28669  -1.75302  -0.56846  -0.05943  -0.40377  -0.01878  -0.36875  -0.83807  -0.86359  -0.65923  -0.55460  -0.40115  -0.63394  -0.24124  -1.03269   0.16059  -0.98604  -1.35402  -0.41847  -1.00049  -0.30585  -0.34221  -0.93299  -0.35775  -1.19147  -0.86353  -0.63027
 896  -0.25335  -0.30646  -1.16139  -0.52950  -0.26384  -0.86924  -1.86143  -0.65595  -0.36615  -0.89050  -1.10603  -0.82508  -2.03797  -1.59993  -0.16706   0.22686  -0.73909  -0.85580  -0.89392  -1.03791  -0.61601  -1.69147  -1.59464  -0.18568  -0.35718  -0.91267  -0.23187  -0.56203  -0.40332  -0.50096  -0.50733  -0.85580   0.51953   0.02342  -0.33813  -0.36061   0.13129  -0.84270  -0.95451   0.14280  -0.34496  -0.15414  -1.07720  -1.48017  -2.29960  -2.08265  -0.50924  -0.52391  -0.36615  -0.83610   0.23393  -0.78275   0.60941  -0.61111  -0.58098  -0.73033  -1.70624  -0.58861  -0.61638  -0.97035  -1.18515  -1.28917  -0.28072
 897  -0.70867  -0.67757  -0.93726  -0.77544  -0.55339  -0.78275  -1.62999  -1.43464  -0.88370  -0.91417  -1.04498  -1.58238  -1.90063  -1.64211  -0.21115  -0.35382  -0.18827  -1.42234  -1.43801  -0.74745  -0.40332  -1.40161  -1.52145  -0.53286  -1.10293  -0.93230  -0.88831  -0.53828  -0.69445  -0.37637  -0.36651  -0.24124   0.15931  -0.59149  -1.13088  -0.50096   0.57875  -1.31045  -1.13205  -0.53828  -0.87984  -0.49791  -0.94733  -0.99034  -0.69786  -1.98052  -0.96207  -0.57076  -0.91056  -0.50733  -0.22264  -0.75503   0.12927  -0.81667  -1.04527  -0.47844  -0.69786  -0.54550  -0.74507  -1.67852  -1.52145  -0.85380  -0.79175
 898  -0.95972  -0.66651  -0.90820  -1.47885  -0.38449  -1.21875  -1.45222  -1.18433  -1.19073  -1.04813  -0.85815  -0.87253  -1.46103  -1.51687   0.61082  -0.04704  -0.27247  -0.81667  -0.74644  -0.58241   0.42752  -1.33960  -1.64364  -0.52476  -0.58762  -0.91417  -1.12332  -0.30673   0.28160   0.07218   0.34256   0.67864  -0.83807  -0.50096  -0.83529  -0.73481  -1.67772  -0.43765  -0.42030  -0.44457  -0.89392  -1.83102  -0.77360  -1.55975   0.00025  -1.48988  -1.90751  -0.15274  -1.02262  -0.53239   0.61621  -0.99290   0.03198  -0.23965  -0.31567   0.25688  -1.75709  -0.70178  -1.00335  -0.67974  -0.16334   0.20086   0.44125
 899   0.74308   0.27774   0.48261  -0.33996   0.48091   0.47505   0.51953   0.93535   0.80560  -0.14474   0.71606   1.09024   0.14570   0.71606   0.45771   0.31824  -0.30646   0.74089   0.86399   0.94684   0.22638   1.14924   0.73465   0.00683   0.84726   0.03445   0.41304   0.70211   1.02038   1.08404   0.30921   0.84801   0.13129   0.55075   0.46972   0.76428   0.57019   0.66251   0.51106   0.64645   1.50917   1.18277   0.90438   0.70315   0.07218   0.50724   0.55899  -0.08703   0.71957   0.82057  -0.08099   0.67008   0.28518  -0.00713   0.25196   0.47661   0.34387   1.05260   0.70315   0.51267  -0.29989   0.59650  -0.26853
 900  -0.51049  -1.07295   0.33182   0.45031   0.17572  -0.42741  -1.25544  -0.43294   0.02059  -0.23997  -0.15274  -0.16925  -1.48568  -1.64082   0.54049  -0.01588  -0.41309  -0.80991  -0.84451  -0.83807  -0.71202  -1.39959  -1.60205  -1.68187  -1.07845  -0.77582  -1.07705  -0.62232  -0.19268  -0.12375  -0.27424   0.04679  -1.08309  -0.99290  -1.22078  -0.23965  -1.39141  -1.03791  -0.58861  -0.05414  -0.39846  -1.14319  -0.65605  -1.41799  -0.15487  -1.15201  -2.32969   0.03099  -0.77404   0.20327   1.00635  -0.64674   0.01779   0.34146  -0.28602   0.75172  -1.81786  -0.60817  -0.37753   0.08627   0.34146   0.71957   0.46417
 901   0.69502   0.74308   0.77489   1.53337   1.02038   1.09400   0.69448   1.35876   0.99654   0.85660   1.11388   1.22087   1.06518   1.01144   1.40819   0.86399   0.41009   0.58185   0.64682   1.44204   0.43162   0.10188   0.59189   1.39070   0.95231   0.78093   0.99870   0.63742   0.02469   0.36752   0.43777   1.48607   1.71949   1.51594   1.50917   1.60881   1.80723   1.03895   1.62902   1.07955   1.44204   1.80723   1.68927   0.77818   1.09731   1.37991   1.12738   1.26240   1.10915   1.33337   0.75120   1.29148   0.78093   0.63265   0.12967  -0.13840   1.24156   0.93768   0.78093   1.21795  -0.47651   1.01144   0.91725
 902  -0.49274  -0.48459  -0.23187  -1.37912  -0.89686  -0.31897  -0.02589  -0.09426  -0.50509  -0.40134   0.17513   0.04009   0.28518  -0.61111  -0.67796  -1.25913   0.56130  -0.34221  -0.30700   0.15409  -0.21400  -0.80218  -0.40940  -0.31934  -0.22108  -0.83807  -0.13445  -0.04704  -1.35965  -1.05041  -0.78834  -0.28635  -1.33029  -1.52557   0.04679  -0.07683  -0.76852  -1.21757  -0.17572  -0.14059  -0.33785  -0.22189   0.06184   0.06531   0.47440  -0.11558  -1.45651   0.59438  -0.41749  -0.09212  -0.27358  -0.10514  -1.86562  -0.46164  -1.40732   0.00985   0.35118  -0.07262  -0.31879  -0.06585   0.15345   0.50724  -0.04704
 903   0.09948  -0.78867  -0.79474  -0.25968  -0.45555  -0.51513  -1.10603  -1.09379  -0.71652  -1.18515  -0.91093  -0.65422  -1.07149  -0.35775   0.17723   0.21680  -0.32386  -0.49274  -0.49225   0.01247  -0.68172  -0.92521  -0.76293   0.19503   0.34032   0.04488  -0.61601  -0.11071  -0.17459  -0.23319   0.19235  -0.16925   0.41884   0.22686   0.19503   0.74799   0.43012   0.21071  -0.23256   0.17723  -0.32386  -0.14474  -0.03770  -0.36615   0.13837  -0.44294  -0.30966  -0.66797  -0.39260  -0.25013   0.15409  -0.17674   0.41304  -0.22108  -0.13766  -0.94920  -0.72640  -0.55208  -1.18589  -1.12501  -0.95451  -0.85580   0.04960
 904  -2.17244  -2.75673  -2.11114  -1.62212  -1.21689  -0.96312  -2.24958  -2.49200  -2.41633  -1.80867  -1.14178  -2.46415  -2.04565  -0.70623  -2.70680  -1.18515  -1.24888  -0.29109  -0.36011  -0.57786  -1.47907  -1.23152  -1.08694  -1.12656  -0.31403  -0.69245  -0.42603  -1.62401  -1.94107  -2.30611  -1.42566  -1.53655  -1.40447  -1.32126  -1.71203  -0.73909  -1.43464  -2.14260  -0.62353  -1.49634  -1.51985  -0.91056  -0.82565  -1.99997  -1.12263  -0.96038  -1.71535  -0.69746  -1.89429  -1.27871  -1.27333  -1.78355  -1.52145  -2.09293  -2.40186  -2.48292  -1.83102  -1.79249  -2.24958   1.76547  -2.49502  -1.66499  -2.46415
 905  -0.71590  -1.47819  -0.70568   1.40660  -0.06550  -0.64789  -1.02638  -1.85806   0.33733   1.14924  -1.22469   0.30649  -1.47578   0.02888  -1.79639  -1.79309   0.24776  -0.70068  -0.66204  -0.18276  -0.21115  -0.49151  -0.45815  -0.95153  -1.70872  -2.07704  -1.73528  -2.69489  -2.74656  -2.92435  -1.62921   0.37411  -1.61407  -0.01796   0.15345   0.18897  -0.89931  -0.28988   0.62903  -0.37877   0.11978   0.19961   0.44693  -0.82932  -1.07705  -0.12659  -0.32386  -0.49758  -1.27378  -0.81724  -1.00909  -0.18435  -0.61296  -1.96791  -0.28842  -2.02393  -0.91892   1.55596  -0.48809  -0.25141   0.61621  -1.41872  -0.72350
 906  -0.13938  -0.42541  -1.14767  -1.23409  -0.84119  -0.54266  -0.58018  -1.27333  -0.39364  -0.84491  -0.84754  -0.48735  -1.50814   0.13514   0.01504   0.32101  -0.16334  -0.07569  -0.03475  -0.52899  -0.25813   0.12967  -0.28456   0.26444   0.51953   0.60393   0.34387   0.12478  -0.27596   0.00856   0.67864   0.09062  -0.19171   0.06821  -0.32927   0.16742  -0.15976  -0.05752   0.51267   0.13933  -0.28456   0.33733   0.29999   0.31660  -0.70290  -0.59403  -0.73481  -0.34786  -0.42098   0.04071   0.12482   0.27945  -0.17572  -0.25968  -1.23015  -0.65278  -0.34066  -1.85822  -1.50419   0.13514  -1.06335  -0.66968  -0.99216
 907  -0.37877  -0.88783  -0.90981  -0.50195  -0.09426  -0.34066  -1.91157  -1.25650  -0.58098  -0.56203  -0.60459  -0.95024  -0.94766  -0.49225  -0.31588  -0.49127  -0.74602  -0.36061  -0.35775  -0.37564  -1.03791  -0.44457  -0.51366  -0.48898  -0.89050  -1.31174  -0.74539  -1.07720  -1.03269  -0.98886  -0.87253  -1.31509  -0.44785  -0.78133  -0.51584  -0.76852  -0.10251  -1.36905  -0.83518   0.16178  -0.51266  -0.68866  -0.19511  -0.78724  -0.61767  -0.53137  -0.35718  -0.89221  -1.08073  -0.27161  -0.40662  -0.34722  -0.19511  -0.65605  -1.17038  -0.76014  -0.93128  -0.83570  -0.78133  -1.23220  -0.30700  -0.82932  -0.51936
 908  -0.40940  -0.24705   0.41304  -0.23965   0.67008  -0.15152  -0.19511  -0.12483   0.57875  -0.04704   0.31244   0.44427  -0.26449  -0.34623  -0.35932  -0.17572  -0.18351  -0.67531  -0.69530  -0.89050  -0.10403  -0.85709  -0.34496  -0.96005  -0.41696  -0.34186  -0.20543  -0.87181  -0.22264  -0.10514  -0.26247   0.30195  -0.79441  -1.51029  -1.06553  -0.58951  -1.58312  -0.63154  -0.42856  -0.38713  -1.19865  -0.28184  -0.70189  -2.34464  -0.12375  -0.24399  -1.59586  -0.46212  -0.91442  -0.41696   0.27646  -0.57208   0.22686   0.61082  -0.55801   1.12337  -2.83446  -1.93569  -0.55043  -0.14486  -0.23020  -0.58762  -0.91892
 909  -2.30611  -2.22573  -2.24958  -0.50121  -1.35035  -2.14730  -2.31371  -2.45550  -2.68311  -0.59376  -1.97113  -2.37679  -2.21276  -1.21824  -1.75302  -1.53736  -2.59837  -1.50014  -1.51985  -1.47710  -2.07784  -2.00107  -1.95124  -1.29499  -1.14460  -1.13647  -1.28610  -2.16893  -2.23692  -2.57688  -1.61456  -1.79789   0.81702  -1.15106  -1.83651  -1.26196   0.13632  -1.11095  -0.48022  -2.06791  -1.26196  -1.97672  -1.89546  -1.96612  -1.85790  -0.44785  -0.21010  -2.16762  -1.35965  -1.78652  -1.11019  -2.19376  -0.99506  -2.16631  -2.67085  -2.38277  -1.73884  -0.60121  -1.90449  -1.83855  -2.29810  -2.03262  -1.10293
 910   0.05159  -0.84679  -0.48370  -0.29652   0.63042   0.06452  -0.10403  -0.28184  -0.00980   0.36752   0.16003   0.19651   0.09390  -0.33813  -0.28952  -0.31567  -0.03698  -0.84959  -0.81126   0.45031  -0.97578  -1.03564  -0.64417   0.44693  -0.55766  -0.50096  -0.26319  -0.89221  -0.28822  -0.54524  -0.49430  -0.38983  -0.62858  -0.50775  -0.00713  -0.47289  -0.54948  -0.16765  -0.07262  -0.35610   0.19503  -0.15152  -0.74570   1.53337   1.38422   0.13514  -0.42304   1.28802   1.38422   0.60941   0.85143  -0.00291   0.07418   1.65500   0.56452   1.44204   0.98492   1.10270   0.84801   0.70939   0.47038   1.53808   0.93305
 911   0.85143   1.47780   1.52188   1.18277   0.97802   1.22799   0.62903   0.56130   0.85660   0.99654   0.84726   1.50637  -0.00783   0.07849   1.22087   0.57369   0.89019  -0.55356  -0.56186   0.46175   0.17723  -0.30165  -0.48658   0.17513   0.89623   0.91994   0.61261   0.59928   0.83781   1.26240   0.98492   1.09400   0.26727   0.54809   0.55337   0.45603   0.24177   0.69791   0.68095   0.59438   0.56290   0.71606   0.15409   0.66212  -0.10403   0.02396  -0.35932   0.60393   0.35283   0.28552   1.64842   0.12478   1.45487   1.64842   0.71606   1.80723   0.55075   0.63180   0.66212   0.27589   1.43192   0.44693  -0.84491
 912   0.72304   0.83376   0.95736   0.39797  -0.44816  -0.22189  -0.89111  -0.21921   0.00568  -0.50121   0.07876  -0.76604  -0.56238   1.40819   0.09062   0.00538   1.40660   0.70211   0.74308   1.09731   0.99870   0.97250   1.07050   1.25691   0.83376   1.26240   1.16888   0.67144   0.79405   0.86164   0.57369   1.33337   1.11755   1.34441   1.36768   1.13198   0.97250   0.88031   1.35876   1.08404   1.60881   1.19803   1.24156  -0.06550   0.09780   1.33337   1.11388   1.18493   0.83064   1.09024   0.43887   0.87299   1.02403  -0.16706   0.92414   0.29673  -0.19955  -0.51894  -0.31879  -0.32324   0.84075   0.88031   1.11388
 913  -0.77079  -1.12332  -0.85815  -0.42909  -0.60817  -0.37564  -0.78417  -1.15972  -1.06176  -1.02235  -1.05643  -0.94791  -1.17038  -1.55975  -0.70436  -0.67286  -0.82932  -0.08796  -0.15414  -1.84201  -1.38920  -1.68578  -1.52809  -1.75637  -1.49657  -1.12656  -1.40732  -1.24862  -1.37595  -1.30601  -1.21520  -1.06466  -0.97154  -0.60716  -1.31509  -0.59994  -0.83351  -0.77143  -0.97035  -0.93401  -0.94212  -0.62353  -0.84830  -0.75173  -1.37279  -2.09842  -1.31119  -2.23507  -1.30260  -1.26745  -1.23753  -0.97737  -0.34722  -0.80041  -1.52786  -1.22630  -0.96312  -0.49758  -0.86359  -1.53168  -1.23538  -1.07690  -1.67345
 914  -1.24914  -1.40161  -0.95108  -1.90449  -1.92041  -2.03642  -0.83645  -1.88437  -1.37496  -1.30324  -1.49657  -1.80668  -1.91174  -1.04784  -0.57875  -0.38935  -1.37358  -1.43464  -1.47688  -1.35402  -0.65691  -0.66087  -0.95108  -0.85580  -1.84548  -0.64483  -0.99506  -0.48695  -0.81900  -0.92470  -0.59934  -1.27378  -0.80599  -0.31081  -1.17151  -1.37358  -1.02262  -1.44987  -1.83447  -1.45651  -1.03861  -1.25387  -1.10527  -1.18433  -1.78355  -1.54109  -1.25422  -1.43654  -1.08502  -0.53333  -1.41944  -0.89050  -1.10369  -1.14618  -0.69746  -0.75897  -1.44509  -1.29153  -1.13647  -1.51687  -1.05902  -2.23135  -1.43843
 915   0.22833   0.78491   0.94684  -0.20297  -0.03356   0.30428   0.25959   0.15409   0.67269   0.16382   0.16178  -0.19754   0.51498  -1.21428   0.05150   0.28856   1.85161  -0.43140  -0.43294   0.11199   1.51340  -0.51936  -0.73200   0.40290   0.57369   0.55566   0.14795   0.37329   0.60941   0.28552   0.02396   0.48849   0.06015   0.35283   0.57526   0.08015   0.37833   0.52378   0.72209  -0.14434   0.57875   0.53813   0.74308   0.62903  -0.50509  -0.40134  -0.16706   0.19503   0.43725   0.08675  -0.23997   0.06452   1.06137  -0.38449   0.56290   0.39376  -0.08099   0.19235   0.65760  -0.19471   0.93305  -0.23319  -0.04134
 916  -0.82463   0.10517  -0.13559  -0.51345  -0.54723  -0.76852   0.10431  -0.34221  -0.15891  -0.49585   0.22606  -0.29296  -0.51819  -0.69405  -0.05414   0.02888   0.92414  -0.27358  -0.28390  -0.20678  -0.16046  -0.43580   0.02342  -0.44816   0.41986   0.14605   0.36828   0.43777   0.45882   0.60393   0.88031   0.87299  -0.51756  -0.21785  -0.98792   0.07483  -0.83351  -0.08099   0.05064  -0.22108  -0.10514  -0.19955  -0.16305  -0.41309   0.38974   0.03580  -0.80352   0.14080  -0.40134   0.33733   0.68773   0.23393  -0.06903   0.01079  -0.44161   0.01079  -1.52580  -1.44860  -0.18435  -0.18351   0.44894  -0.44411  -0.00040
 917  -2.17596  -2.08506  -1.36316  -2.01486  -1.26905  -1.40569  -1.22180  -0.89221  -1.21824  -1.26425  -2.53018  -1.59464  -2.28085  -1.32013  -2.03604  -1.44520  -2.20094  -1.20648  -1.21117  -1.29865  -1.94527  -1.44096  -1.11095  -1.27244  -1.44054  -1.28610  -1.29792  -2.46708  -2.22854  -2.17596  -2.59837  -1.47120  -1.61607  -1.69147  -1.42130  -0.89441  -1.29244  -0.70290  -1.07720  -2.26678  -1.77908  -1.51482  -0.99872  -0.88225  -1.82900  -1.11903  -1.09677  -1.88093  -0.68191  -1.68578  -1.51482  -1.94527  -1.51687  -2.30209  -1.97113  -1.61708  -1.09767  -1.05485  -1.57249  -2.15546  -1.65815  -2.08265  -1.62212
 918  -2.21598  -1.40447  -2.04873  -1.45436  -0.88661  -1.14460  -1.42110  -1.44160  -0.96903  -1.49344  -1.40161  -1.00676  -1.58312  -0.38317  -1.17038  -1.25544  -0.30700  -0.31567  -0.32386  -0.69295  -0.35511  -0.38089  -0.42358  -0.00181  -0.31588  -0.42450   0.00752  -1.62642  -2.00384  -1.41305  -0.86099  -0.78078  -1.04970  -1.52786  -0.91542  -0.92773  -1.40019  -0.90981  -0.55949  -0.61019  -0.83807  -0.72702  -0.57674  -3.22591  -0.37877  -0.04072  -1.00130  -0.42251  -1.17506  -0.37295  -0.47844  -0.49274  -1.23770  -1.08694  -1.66841  -1.31379  -1.88093  -2.19555  -1.17038  -0.50812  -1.05485  -1.65189  -1.39091
 919  -2.87915  -2.41633  -2.46415  -2.73107  -1.60804  -1.49869  -2.17025  -1.81340  -2.49200  -1.94456  -1.68362  -1.84548  -2.41633  -1.21943  -2.60105  -2.08626  -2.65859  -2.11279  -2.16282  -1.85806  -2.26010  -2.35456  -2.11114  -1.79249  -1.79249  -1.10052  -1.83447  -2.50168  -2.57688  -2.61347  -3.18689  -1.61632  -1.96791  -2.48956  -0.69345  -0.87361  -1.99997  -1.20648  -2.10538  -2.92435  -2.17025  -1.57249  -1.34688  -1.51585  -2.48292  -1.11019  -1.82016  -1.88437  -2.77179  -2.53907  -2.28895  -1.97402  -1.57849  -2.53524  -0.51295  -2.13707  -0.51894  -1.47841  -1.59906  -1.54074  -1.97762  -0.38655  -0.76218
 920  -1.97672  -1.84548  -2.07864  -2.30611  -1.74612  -1.34266  -2.16391  -2.26344  -0.79164  -0.14717  -0.91180  -0.77360  -1.31277  -0.87073  -2.06672  -1.97907  -2.31371  -1.51894  -1.53481  -1.23409  -2.10046  -1.35965  -0.49151  -0.78834  -1.49166  -1.37654  -0.29236  -1.73727  -2.21598  -2.39910  -1.91905  -2.17905  -2.09232  -2.35247  -0.40711  -0.98994  -0.95024  -1.48933  -2.18927  -1.66735  -1.17151  -1.41944  -1.85151  -1.18933  -0.99682  -0.97763  -0.40444  -0.97498  -1.99262  -0.44957  -2.41633  -0.91342  -2.46415  -1.79504  -0.97240  -2.14260  -0.53833  -0.68102   0.01504  -1.50419  -1.66841  -0.68191  -0.94212
 921  -2.26344  -1.14917  -0.87648  -2.00551  -1.24688  -1.23152  -1.49166  -2.17244  -2.08506  -0.32656  -1.62616  -1.75637  -1.71535  -1.25194  -1.43759  -1.52786  -1.13460  -1.47382  -1.49155  -1.70982  -1.66499  -1.59537  -1.38770  -1.42962  -2.03262  -1.16315  -1.49668  -1.66354  -1.47578  -1.54085  -1.18662  -0.42251  -2.01263  -1.96362  -1.86498  -2.05067  -2.26678  -1.78355  -1.78355  -2.05573  -2.07088  -2.75673  -1.83447  -1.63954  -1.24775  -1.52786  -2.12111  -1.96898  -1.59746  -2.21876  -0.76604  -2.31371  -1.51985  -1.03381  -1.07690  -0.32435  -1.82635  -1.79040  -1.01570  -1.75637  -0.70290  -2.42199  -1.78712
